# en-US	en-GB
analyze	analyse
analyzed	analysed
analyzing	analysing
apologize	apologise
behavior	behaviour
catalog	catalogue
center	centre
color	colour
defense	defence
dialog	dialogue
favor	favour
favorite	favourite
fiber	fibre
fulfill	fulfil
gray	grey
honor	honour
initialize	initialise
initialized	initialised
initializing	initialising
liter	litre
modeling	modelling
neighbor	neighbour
organization	organisation
organize	organise
organized	organised
organizing	organising
paralyze	paralyse
realize	realise
realized	realised
recognize	recognise
theater	theatre
traveled	travelled
traveler	traveller
