# Trailing long-vowel katakana pairs: short<TAB>long.
# Used by katakana-style = "long" (flag left, suggest right) and
# "short" (the reverse). Curated for terms where both forms genuinely
# circulate; deliberately excludes terms with one dominant form
# (レジスタ, トランジスタ, コンパイラ, ...).
サーバ	サーバー
ユーザ	ユーザー
コンピュータ	コンピューター
プリンタ	プリンター
ブラウザ	ブラウザー
フォルダ	フォルダー
ドライバ	ドライバー
ルータ	ルーター
プロセッサ	プロセッサー
マネージャ	マネージャー
コントローラ	コントローラー
スケジューラ	スケジューラー
パラメータ	パラメーター
エディタ	エディター
モニタ	モニター
レイヤ	レイヤー
タイマ	タイマー
ヘッダ	ヘッダー
フッタ	フッター
センサ	センサー
モータ	モーター
フィルタ	フィルター
マスタ	マスター
クラスタ	クラスター
メンバ	メンバー
カレンダ	カレンダー
アダプタ	アダプター
コネクタ	コネクター
セレクタ	セレクター
デバッガ	デバッガー
ビルダ	ビルダー
リーダ	リーダー
ライタ	ライター
プログラマ	プログラマー
デザイナ	デザイナー
ハンドラ	ハンドラー
リスナ	リスナー
ワーカ	ワーカー
プロバイダ	プロバイダー
トリガ	トリガー
スピーカ	スピーカー
エレベータ	エレベーター
エスカレータ	エスカレーター
カウンタ	カウンター
イテレータ	イテレーター
ジェネレータ	ジェネレーター
デコレータ	デコレーター
バリデータ	バリデーター
シミュレータ	シミュレーター
エミュレータ	エミュレーター
コンバータ	コンバーター
ポインタ	ポインター
インジケータ	インジケーター
セパレータ	セパレーター
アクセラレータ	アクセラレーター
ナビゲータ	ナビゲーター
コンデンサ	コンデンサー
